taxi_zone,zone_name,attraction_place_id,index,attraction_name,category,price,isFree,description,attraction_latitude,attraction_longitude,attraction_vicinity,attraction_rating,user_ratings_total,attraction_phone_number,attraction_website,opening_hours,price_level,types,international_phone_number,url,icon,formatted_hours,popular_times,time_spent,current_popularity
4,Alphabet City,ChIJbxEpSHhZwokRy0E6XKUyNPk,1,6BC Botanical Garden,Natural,0,TRUE,"A hidden gem in the East Village, this botanical garden offers a serene escape with lush greenery, colorful flowers, tranquil ponds, and seating areas. Ideal for nature lovers seeking a peaceful retreat in the midst of the bustling city, it also hosts community events and activities.",40.7238154,-73.9807078,"630 East 6th Street, New York",4.6,186,,6BC Botanical Garden,"['Monday: Closed', 'Tuesday: Closed', 'Wednesday: 4:00\u2009–\u20097:00\u202fPM', 'Thursday: Closed', 'Friday: 4:00\u2009–\u20097:00\u202fPM', 'Saturday: 12:00\u2009–\u20096:00\u202fPM', 'Sunday: 12:00\u2009–\u20096:00\u202fPM']",,"['park', 'point_of_interest']",,6BC Botanical Garden,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/park-71.png,"2: 16:00 - 19:00, 4: 16:00 - 19:00, 5: 12:00 - 18:00, 6: 12:00 - 18:00",[],"[None, None]",
4,Alphabet City,ChIJ3Z6yJiJawokR_NZVoJM3X7U,2,John V. Lindsay East River Park Track,Entertainment,0,TRUE,"Located along the East River, this park features running tracks, sports fields, and scenic views. It's a popular spot for outdoor activities, jogging, and exercise. The park offers a refreshing riverside atmosphere, providing a green space for residents and visitors to enjoy fitness and recreation.",40.7216972,-73.9734364,"1234 East 6th Street, New York",4.6,880,(212) 639-9675,http://www.nycgovparks.org/parks/east-river-park/facilities/runningtracks,"['Monday: 6:00\u202fAM\u2009–\u20091:00\u202fAM', 'Tuesday: 6:00\u202fAM\u2009–\u20091:00\u202fAM', 'Wednesday: 6:00\u202fAM\u2009–\u20091:00\u202fAM', 'Thursday: 6:00\u202fAM\u2009–\u20091:00\u202fAM', 'Friday: 6:00\u202fAM\u2009–\u20091:00\u202fAM', 'Saturday: 6:00\u202fAM\u2009–\u20091:00\u202fAM', 'Sunday: 6:00\u202fAM\u2009–\u20091:00\u202fAM']",,"['park', 'point_of_interest']",+1 212-639-9675,https://maps.google.com/?cid=13069225750842169084,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,"0: 06:00 - 01:00, 1: 06:00 - 01:00, 2: 06:00 - 01:00, 3: 06:00 - 01:00, 4: 06:00 - 01:00, 5: 06:00 - 01:00, 6: 06:00 - 01:00","[{'name': 'Monday', 'data': [12, 0, 0, 0, 0, 0, 62, 76, 77, 75, 67, 65, 70, 72, 81, 81, 80, 67, 59, 47, 37, 23, 24, 20]}, {'name': 'Tuesday', 'data': [14, 0, 0, 0, 0, 0, 67, 85, 89, 88, 81, 85, 90, 100, 95, 87, 74, 65, 58, 46, 36, 27, 22, 19]}, {'name': 'Wednesday', 'data': [12, 0, 0, 0, 0, 0, 62, 72, 72, 72, 69, 74, 76, 77, 73, 66, 57, 51, 53, 51, 42, 34, 28, 30]}, {'name': 'Thursday', 'data': [18, 0, 0, 0, 0, 0, 54, 68, 70, 76, 75, 76, 77, 77, 83, 77, 71, 65, 55, 46, 30, 26, 27, 28]}, {'name': 'Friday', 'data': [22, 0, 0, 0, 0, 0, 56, 67, 68, 74, 77, 80, 80, 77, 76, 69, 66, 58, 52, 48, 45, 38, 37, 32]}, {'name': 'Saturday', 'data': [24, 0, 0, 0, 0, 0, 23, 35, 42, 47, 50, 57, 63, 67, 71, 66, 66, 61, 55, 45, 39, 34, 35, 33]}, {'name': 'Sunday', 'data': [21, 0, 0, 0, 0, 0, 9, 18, 26, 32, 38, 43, 49, 56, 68, 71, 73, 67, 60, 44, 28, 23, 23, 20]}]","[25, 90]",75
4,Alphabet City,ChIJ5ccq-HlZwokRf-uTkQ219Rw,3,Green Oasis,Natural,0,TRUE,"A community garden in Manhattan, Green Oasis provides a peaceful retreat with beautiful plants, seating areas, and community events. This green space fosters neighborhood connections and offers a tranquil environment for relaxation, gardening, and social gatherings, enhancing the urban living experience.",40.724047,-73.9773784,"370 East 8th Street, New York",4.7,37,(212) 639-9675,http://greenoasisnyc.org/,"['Monday: Closed', 'Tuesday: Closed', 'Wednesday: Closed', 'Thursday: Closed', 'Friday: 8:00\u202fAM\u2009–\u20095:00\u202fPM', 'Saturday: 8:00\u202fAM\u2009–\u20095:00\u202fPM', 'Sunday: 8:00\u202fAM\u2009–\u20095:00\u202fPM']",,"['park', 'point_of_interest']",+1 212-639-9675,https://maps.google.com/?cid=2086773072237685631,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/park-71.png,"4: 08:00 - 17:00, 5: 08:00 - 17:00, 6: 08:00 - 17:00",[],"[None, None]",
24,Bloomingdale,ChIJa0R7Vjz2wokR_wv0XhIOo8Q,4,The Cathedral Church of St. John the Divine,Religious,0,TRUE,"One of the largest cathedrals in the world, St. John the Divine is known for its stunning Gothic architecture and cultural significance. This religious landmark hosts services, concerts, and community events, making it a center for spiritual and cultural activities in New York City.",40.8038356,-73.9618754,"1047 Amsterdam Avenue, New York",4.5,3676,(212) 316-7540,http://www.stjohndivine.org/,"['Monday: 9:30\u202fAM\u2009–\u20095:00\u202fPM', 'Tuesday: 9:30\u202fAM\u2009–\u20095:00\u202fPM', 'Wednesday: 9:30\u202fAM\u2009–\u20095:00\u202fPM', 'Thursday: 9:30\u202fAM\u2009–\u20095:00\u202fPM', 'Friday: 9:30\u202fAM\u2009–\u20095:00\u202fPM', 'Saturday: 9:30\u202fAM\u2009–\u20095:00\u202fPM', 'Sunday: 12:00\u2009–\u20095:00\u202fPM']",,"['church', 'place_of_worship', 'point_of_interest']",+1 212-316-7540,https://maps.google.com/?cid=14169184324702964735,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/worship_general-71.png,"0: 09:30 - 17:00, 1: 09:30 - 17:00, 2: 09:30 - 17:00, 3: 09:30 - 17:00, 4: 09:30 - 17:00, 5: 09:30 - 17:00","[{'name': 'Monday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 31, 46, 56, 57, 54, 53, 42, 35, 0, 0, 0, 0, 0, 0, 0]}, {'name': 'Tuesday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 50, 61, 64, 58, 54, 47, 40, 0, 0, 0, 0, 0, 0, 0]}, {'name': 'Wednesday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 37, 46, 48, 43, 42, 46, 45, 36, 0, 0, 0, 0, 0, 0, 0]}, {'name': 'Thursday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 35, 42, 48, 56, 64, 60, 41, 0, 0, 0, 0, 0, 0, 0]}, {'name': 'Friday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 41, 53, 63, 65, 68, 69, 63, 53, 0, 0, 0, 0, 0, 0, 0]}, {'name': 'Saturday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 66, 82, 89, 90, 85, 92, 85, 63, 0, 0, 0, 0, 0, 0, 0]}, {'name': 'Sunday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 100, 82, 81, 76, 78, 0, 0, 0, 0, 0, 0, 0]}]","[None, None]",3
24,Bloomingdale,ChIJ4zvA1yT2wokRncwNUazVWQw,5,Straus Park,Natural,0,TRUE,"A small, triangular park dedicated to Isidor and Ida Straus, featuring a memorial fountain, lovely gardens, and a relaxing atmosphere. This urban oasis offers a quiet spot for reflection and respite from the city's hustle and bustle, commemorating the legacy of the Straus couple.",40.8018478,-73.968187,"West End Ave. &, West 107th Street, New York",4.4,220,(212) 639-9675,https://www.nycgovparks.org/parks/straus-park/,"['Monday: 6:00\u202fAM\u2009–\u20091:00\u202fAM', 'Tuesday: 6:00\u202fAM\u2009–\u20091:00\u202fAM', 'Wednesday: 6:00\u202fAM\u2009–\u20091:00\u202fAM', 'Thursday: 6:00\u202fAM\u2009–\u20091:00\u202fAM', 'Friday: 6:00\u202fAM\u2009–\u20091:00\u202fAM', 'Saturday: 6:00\u202fAM\u2009–\u20091:00\u202fAM', 'Sunday: 6:00\u202fAM\u2009–\u20091:00\u202fAM']",,"['park', 'point_of_interest']",+1 212-639-9675,https://maps.google.com/?cid=889977337453333661,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/park-71.png,"0: 06:00 - 01:00, 1: 06:00 - 01:00, 2: 06:00 - 01:00, 3: 06:00 - 01:00, 4: 06:00 - 01:00, 5: 06:00 - 01:00, 6: 06:00 - 01:00","[{'name': 'Monday', 'data': [54, 0, 0, 0, 0, 0, 11, 11, 15, 38, 34, 54, 65, 68, 43, 45, 40, 63, 63, 54, 40, 25, 18, 20]}, {'name': 'Tuesday', 'data': [38, 0, 0, 0, 0, 0, 22, 29, 56, 61, 77, 79, 86, 95, 81, 65, 50, 63, 59, 54, 52, 68, 56, 50]}, {'name': 'Wednesday', 'data': [20, 0, 0, 0, 0, 0, 20, 25, 18, 22, 20, 29, 52, 93, 93, 88, 63, 50, 25, 22, 18, 11, 6, 11]}, {'name': 'Thursday', 'data': [4, 0, 0, 0, 0, 0, 22, 25, 45, 70, 79, 72, 52, 40, 59, 72, 86, 68, 50, 47, 38, 47, 61, 47]}, {'name': 'Friday', 'data': [40, 0, 0, 0, 0, 0, 38, 47, 43, 59, 93, 100, 90, 68, 47, 38, 15, 20, 25, 38, 25, 27, 11, 11]}, {'name': 'Saturday', 'data': [15, 0, 0, 0, 0, 0, 18, 27, 20, 36, 56, 88, 93, 95, 81, 68, 56, 59, 50, 50, 29, 40, 43, 50]}, {'name': 'Sunday', 'data': [27, 0, 0, 0, 0, 0, 20, 4, 6, 11, 31, 34, 56, 63, 72, 68, 61, 38, 43, 29, 43, 34, 34, 31]}]","[None, None]",
24,Bloomingdale,ChIJCYAz0Dr2wokRe49DUpkvIL4,6,Nicholas Roerich Museum,Arts,0,TRUE,"Dedicated to the art and philosophy of Nicholas Roerich, this museum showcases his paintings and cultural artifacts. It offers visitors an opportunity to explore Roerich's artistic contributions and his vision of peace through art. The museum also hosts lectures, exhibitions, and cultural events.",40.802939,-73.969002,"319 West 107th Street, New York",4.8,414,(212) 864-7752,https://www.roerich.org/,"['Monday: Closed', 'Tuesday: 12:00\u2009–\u20094:00\u202fPM', 'Wednesday: 12:00\u2009–\u20094:00\u202fPM', 'Thursday: 12:00\u2009–\u20094:00\u202fPM', 'Friday: 12:00\u2009–\u20094:00\u202fPM', 'Saturday: 12:00\u2009–\u20095:00\u202fPM', 'Sunday: 12:00\u2009–\u20095:00\u202fPM']",,"['museum', 'point_of_interest']",+1 212-864-7752,https://maps.google.com/?cid=13700002402017709947,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/museum-71.png,"1: 12:00 - 16:00, 2: 12:00 - 16:00, 3: 12:00 - 16:00, 4: 12:00 - 16:00, 5: 12:00 - 16:00, 6: 12:00 - 16:00",[],"[None, None]",
12,Battery Park,ChIJraKL-BJawokREpxDmF5GcL4,7,The Battery,Natural,0,TRUE,"A historic waterfront park at Manhattan's southern tip, The Battery features gardens, monuments, and views of the Statue of Liberty. This park is a gateway to various historical sites and offers recreational activities, making it a vibrant public space for both locals and tourists.",40.7029312,-74.0153603,New York,4.6,71576,(212) 344-3491,https://www.thebattery.org/,"['Monday: 6:00\u202fAM\u2009–\u200912:00\u202fAM', 'Tuesday: 6:00\u202fAM\u2009–\u200912:00\u202fAM', 'Wednesday: 6:00\u202fAM\u2009–\u200912:00\u202fAM', 'Thursday: 6:00\u202fAM\u2009–\u200912:00\u202fAM', 'Friday: 6:00\u202fAM\u2009–\u200912:00\u202fAM', 'Saturday: 6:00\u202fAM\u2009–\u200912:00\u202fAM', 'Sunday: 6:00\u202fAM\u2009–\u200912:00\u202fAM']",0,"['park', 'point_of_interest']",+1 212-344-3491,https://maps.google.com/?cid=13722545436693339154,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/park-71.png,"0: 06:00 - 00:00, 1: 06:00 - 00:00, 2: 06:00 - 00:00, 3: 06:00 - 00:00, 4: 06:00 - 00:00, 5: 06:00 - 00:00, 6: 06:00 - 00:00",[],"[None, None]",
12,Battery Park,ChIJoQb5SxBawokRtYcvnZAI2lE,8,Castle Clinton National Monument,Cultural,0,TRUE,"A circular fort and national monument in Battery Park, Castle Clinton offers a glimpse into New York's military history and early immigration. Visitors can explore the historic site, learn about its significance, and enjoy the surrounding park, which provides scenic views and recreational opportunities.",40.7034401,-74.0168023,New York,4.4,21237,(212) 344-7220,https://www.nps.gov/cacl/index.htm,"['Monday: 7:45\u202fAM\u2009–\u20095:00\u202fPM', 'Tuesday: 7:45\u202fAM\u2009–\u20095:00\u202fPM', 'Wednesday: 7:45\u202fAM\u2009–\u20095:00\u202fPM', 'Thursday: 7:45\u202fAM\u2009–\u20095:00\u202fPM', 'Friday: 7:45\u202fAM\u2009–\u20095:00\u202fPM', 'Saturday: 7:45\u202fAM\u2009–\u20095:00\u202fPM', 'Sunday: 7:45\u202fAM\u2009–\u20095:00\u202fPM']",,"['museum', 'point_of_interest']",+1 212-344-7220,https://maps.google.com/?cid=5898036079200536501,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/museum-71.png,"0: 07:45 - 17:00, 1: 07:45 - 17:00, 2: 07:45 - 17:00, 3: 07:45 - 17:00, 4: 07:45 - 17:00, 5: 07:45 - 17:00, 6: 07:45 - 17:00","[{'name': 'Monday', 'data': [0, 0, 0, 0, 0, 0, 0, 34, 79, 93, 100, 89, 75, 55, 41, 24, 10, 0, 0, 0, 0, 0, 0, 0]}, {'name': 'Tuesday', 'data': [0, 0, 0, 0, 0, 0, 0, 34, 65, 62, 75, 62, 48, 44, 41, 44, 27, 0, 0, 0, 0, 0, 0, 0]}, {'name': 'Wednesday', 'data': [0, 0, 0, 0, 0, 0, 0, 13, 20, 27, 34, 31, 34, 37, 34, 34, 24, 0, 0, 0, 0, 0, 0, 0]}, {'name': 'Thursday', 'data': [0, 0, 0, 0, 0, 0, 0, 17, 41, 62, 62, 41, 34, 24, 27, 37, 17, 0, 0, 0, 0, 0, 0, 0]}, {'name': 'Friday', 'data': [0, 0, 0, 0, 0, 0, 0, 6, 20, 27, 24, 24, 44, 41, 34, 17, 13, 0, 0, 0, 0, 0, 0, 0]}, {'name': 'Saturday', 'data': [0, 0, 0, 0, 0, 0, 0, 10, 13, 20, 31, 41, 31, 17, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0]}, {'name': 'Sunday', 'data': [0, 0, 0, 0, 0, 0, 0, 10, 24, 24, 31, 34, 31, 31, 31, 27, 27, 0, 0, 0, 0, 0, 0, 0]}]","[15, 45]",56
12,Battery Park,ChIJYTeZ_BFawokRe_SRVX_pKIs,9,Museum of Jewish Heritage ,Cultural,18,FALSE,"This museum educates visitors about Jewish history and the Holocaust, featuring exhibitions, survivor testimonies, and artifacts. It serves as a living memorial, honoring the resilience of Jewish people. The museum also offers educational programs and events to promote understanding and remembrance.",40.706253,-74.018778,"36 Battery Place, New York",4.6,1670,(646) 437-4202,https://mjhnyc.org/,"['Monday: Closed', 'Tuesday: Closed', 'Wednesday: 10:00\u202fAM\u2009–\u20095:00\u202fPM', 'Thursday: 10:00\u202fAM\u2009–\u20098:00\u202fPM', 'Friday: 10:00\u202fAM\u2009–\u20093:00\u202fPM', 'Saturday: Closed', 'Sunday: 10:00\u202fAM\u2009–\u20095:00\u202fPM']",,"['museum', 'point_of_interest']",+1 646-437-4202,https://maps.google.com/?cid=10027521303446156411,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/museum-71.png,"2: 10:00 - 17:00, 3: 10:00 - 20:00, 4: 10:00 - 15:00, 6: 10:00 - 17:00",[],"[180, 180]",
13,Battery Park City,ChIJy7cGfBlawokR5l2e93hsoEA,10,One World Trade Center,Landmark,38,FALSE,"The main building of the rebuilt World Trade Center complex, One World Trade Center offers observation decks with panoramic views of New York City. This iconic skyscraper symbolizes resilience and renewal, providing visitors with stunning vistas and an understanding of the city's recovery after 9/11.",40.7127431,-74.0133795,"285 Fulton Street, New York",4.7,25697,,https://www.wtc.com/about/buildings/1-world-trade-center,,3,['point_of_interest'],,https://maps.google.com/?cid=4656841281507319270,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,"0: 09:00 - 00:00, 1: 09:00 - 00:00, 2: 09:00 - 00:00, 3: 09:00 - 00:00, 4: 09:00 - 00:00, 5: 09:00 - 00:00, 6: 09:00 - 00:00",[],"[None, None]",
