index,taxi_zone,zone_name,attraction_place_id,attraction_name,attraction_latitude,attraction_longitude,attraction_vicinity,attraction_rating,user_ratings_total,attraction_phone_number,attraction_website,opening_hours,price_level,types,international_phone_number,url,icon,formatted_hours,category,description,Price,isFree,popular_times,time_spent,current_popularity
1,4,Alphabet City,ChIJbxEpSHhZwokRy0E6XKUyNPk,6BC Botanical Garden,40.7238154,-73.98070779999999,"630 East 6th Street, New York",4.6,186.0,,http://6bcgarden.org/,"['Monday: Closed', 'Tuesday: Closed', 'Wednesday: 4:00\u2009–\u20097:00\u202fPM', 'Thursday: Closed', 'Friday: 4:00\u2009–\u20097:00\u202fPM', 'Saturday: 12:00\u2009–\u20096:00\u202fPM', 'Sunday: 12:00\u2009–\u20096:00\u202fPM']",,"['park', 'point_of_interest']",,https://maps.google.com/?cid=17957033300031324619,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/park-71.png,,natural,"6BC Botanical Garden is a beautiful natural attraction, perfect for enjoying the outdoors.",,True,[],"[None, None]",
2,4,Alphabet City,ChIJ3Z6yJiJawokR_NZVoJM3X7U,John V. Lindsay East River Park Track,40.7216972,-73.9734364,"1234 East 6th Street, New York",4.6,880.0,(212) 639-9675,http://www.nycgovparks.org/parks/east-river-park/facilities/runningtracks,"['Monday: 6:00\u202fAM\u2009–\u20091:00\u202fAM', 'Tuesday: 6:00\u202fAM\u2009–\u20091:00\u202fAM', 'Wednesday: 6:00\u202fAM\u2009–\u20091:00\u202fAM', 'Thursday: 6:00\u202fAM\u2009–\u20091:00\u202fAM', 'Friday: 6:00\u202fAM\u2009–\u20091:00\u202fAM', 'Saturday: 6:00\u202fAM\u2009–\u20091:00\u202fAM', 'Sunday: 6:00\u202fAM\u2009–\u20091:00\u202fAM']",,"['park', 'point_of_interest']",+1 212-639-9675,https://maps.google.com/?cid=13069225750842169084,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,"0: 06:00 - 01:00, 1: 06:00 - 01:00, 2: 06:00 - 01:00, 3: 06:00 - 01:00, 4: 06:00 - 01:00, 5: 06:00 - 01:00, 6: 06:00 - 01:00",natural,"John V. Lindsay East River Park Track is a beautiful natural attraction, perfect for enjoying the outdoors.",,True,"[{'name': 'Monday', 'data': [12, 0, 0, 0, 0, 0, 62, 76, 77, 75, 67, 65, 70, 72, 81, 81, 80, 67, 59, 47, 37, 23, 24, 20]}, {'name': 'Tuesday', 'data': [14, 0, 0, 0, 0, 0, 67, 85, 89, 88, 81, 85, 90, 100, 95, 87, 74, 65, 58, 46, 36, 27, 22, 19]}, {'name': 'Wednesday', 'data': [12, 0, 0, 0, 0, 0, 62, 72, 72, 72, 69, 74, 76, 77, 73, 66, 57, 51, 53, 51, 42, 34, 28, 30]}, {'name': 'Thursday', 'data': [18, 0, 0, 0, 0, 0, 54, 68, 70, 76, 75, 76, 77, 77, 83, 77, 71, 65, 55, 46, 30, 26, 27, 28]}, {'name': 'Friday', 'data': [22, 0, 0, 0, 0, 0, 56, 67, 68, 74, 77, 80, 80, 77, 76, 69, 66, 58, 52, 48, 45, 38, 37, 32]}, {'name': 'Saturday', 'data': [24, 0, 0, 0, 0, 0, 23, 35, 42, 47, 50, 57, 63, 67, 71, 66, 66, 61, 55, 45, 39, 34, 35, 33]}, {'name': 'Sunday', 'data': [21, 0, 0, 0, 0, 0, 9, 18, 26, 32, 38, 43, 49, 56, 68, 71, 73, 67, 60, 44, 28, 23, 23, 20]}]","[25, 90]",75.0
3,4,Alphabet City,ChIJ5ccq-HlZwokRf-uTkQ219Rw,Green Oasis,40.72404700000001,-73.97737839999999,"370 East 8th Street, New York",4.7,37.0,(212) 639-9675,http://greenoasisnyc.org/,"['Monday: Closed', 'Tuesday: Closed', 'Wednesday: Closed', 'Thursday: Closed', 'Friday: 8:00\u202fAM\u2009–\u20095:00\u202fPM', 'Saturday: 8:00\u202fAM\u2009–\u20095:00\u202fPM', 'Sunday: 8:00\u202fAM\u2009–\u20095:00\u202fPM']",,"['park', 'point_of_interest']",+1 212-639-9675,https://maps.google.com/?cid=2086773072237685631,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/park-71.png,"4: 08:00 - 17:00, 5: 08:00 - 17:00, 6: 08:00 - 17:00",natural,"Green Oasis is a beautiful natural attraction, perfect for enjoying the outdoors.",,True,[],"[None, None]",
4,24,Bloomingdale,ChIJa0R7Vjz2wokR_wv0XhIOo8Q,The Cathedral Church of St. John the Divine,40.8038356,-73.9618754,"1047 Amsterdam Avenue, New York",4.5,3676.0,(212) 316-7540,http://www.stjohndivine.org/,"['Monday: 9:30\u202fAM\u2009–\u20095:00\u202fPM', 'Tuesday: 9:30\u202fAM\u2009–\u20095:00\u202fPM', 'Wednesday: 9:30\u202fAM\u2009–\u20095:00\u202fPM', 'Thursday: 9:30\u202fAM\u2009–\u20095:00\u202fPM', 'Friday: 9:30\u202fAM\u2009–\u20095:00\u202fPM', 'Saturday: 9:30\u202fAM\u2009–\u20095:00\u202fPM', 'Sunday: 12:00\u2009–\u20095:00\u202fPM']",,"['church', 'place_of_worship', 'point_of_interest']",+1 212-316-7540,https://maps.google.com/?cid=14169184324702964735,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/worship_general-71.png,"0: 09:30 - 17:00, 1: 09:30 - 17:00, 2: 09:30 - 17:00, 3: 09:30 - 17:00, 4: 09:30 - 17:00, 5: 09:30 - 17:00",religious,"The Cathedral Church of St. John the Divine is a significant religious site, offering a peaceful and spiritual experience.",,True,"[{'name': 'Monday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 31, 46, 56, 57, 54, 53, 42, 35, 0, 0, 0, 0, 0, 0, 0]}, {'name': 'Tuesday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 50, 61, 64, 58, 54, 47, 40, 0, 0, 0, 0, 0, 0, 0]}, {'name': 'Wednesday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 37, 46, 48, 43, 42, 46, 45, 36, 0, 0, 0, 0, 0, 0, 0]}, {'name': 'Thursday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 35, 42, 48, 56, 64, 60, 41, 0, 0, 0, 0, 0, 0, 0]}, {'name': 'Friday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 41, 53, 63, 65, 68, 69, 63, 53, 0, 0, 0, 0, 0, 0, 0]}, {'name': 'Saturday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 66, 82, 89, 90, 85, 92, 85, 63, 0, 0, 0, 0, 0, 0, 0]}, {'name': 'Sunday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 100, 82, 81, 76, 78, 0, 0, 0, 0, 0, 0, 0]}]","[None, None]",3.0
5,24,Bloomingdale,ChIJ4zvA1yT2wokRncwNUazVWQw,Straus Park,40.8018478,-73.968187,"West End Ave. &, West 107th Street, New York",4.4,220.0,(212) 639-9675,https://www.nycgovparks.org/parks/straus-park/,"['Monday: 6:00\u202fAM\u2009–\u20091:00\u202fAM', 'Tuesday: 6:00\u202fAM\u2009–\u20091:00\u202fAM', 'Wednesday: 6:00\u202fAM\u2009–\u20091:00\u202fAM', 'Thursday: 6:00\u202fAM\u2009–\u20091:00\u202fAM', 'Friday: 6:00\u202fAM\u2009–\u20091:00\u202fAM', 'Saturday: 6:00\u202fAM\u2009–\u20091:00\u202fAM', 'Sunday: 6:00\u202fAM\u2009–\u20091:00\u202fAM']",,"['park', 'point_of_interest']",+1 212-639-9675,https://maps.google.com/?cid=889977337453333661,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/park-71.png,"0: 06:00 - 01:00, 1: 06:00 - 01:00, 2: 06:00 - 01:00, 3: 06:00 - 01:00, 4: 06:00 - 01:00, 5: 06:00 - 01:00, 6: 06:00 - 01:00",natural,"Straus Park is a beautiful natural attraction, perfect for enjoying the outdoors.",,True,"[{'name': 'Monday', 'data': [54, 0, 0, 0, 0, 0, 11, 11, 15, 38, 34, 54, 65, 68, 43, 45, 40, 63, 63, 54, 40, 25, 18, 20]}, {'name': 'Tuesday', 'data': [38, 0, 0, 0, 0, 0, 22, 29, 56, 61, 77, 79, 86, 95, 81, 65, 50, 63, 59, 54, 52, 68, 56, 50]}, {'name': 'Wednesday', 'data': [20, 0, 0, 0, 0, 0, 20, 25, 18, 22, 20, 29, 52, 93, 93, 88, 63, 50, 25, 22, 18, 11, 6, 11]}, {'name': 'Thursday', 'data': [4, 0, 0, 0, 0, 0, 22, 25, 45, 70, 79, 72, 52, 40, 59, 72, 86, 68, 50, 47, 38, 47, 61, 47]}, {'name': 'Friday', 'data': [40, 0, 0, 0, 0, 0, 38, 47, 43, 59, 93, 100, 90, 68, 47, 38, 15, 20, 25, 38, 25, 27, 11, 11]}, {'name': 'Saturday', 'data': [15, 0, 0, 0, 0, 0, 18, 27, 20, 36, 56, 88, 93, 95, 81, 68, 56, 59, 50, 50, 29, 40, 43, 50]}, {'name': 'Sunday', 'data': [27, 0, 0, 0, 0, 0, 20, 4, 6, 11, 31, 34, 56, 63, 72, 68, 61, 38, 43, 29, 43, 34, 34, 31]}]","[None, None]",
6,24,Bloomingdale,ChIJCYAz0Dr2wokRe49DUpkvIL4,Nicholas Roerich Museum,40.80293899999999,-73.969002,"319 West 107th Street, New York",4.8,414.0,(212) 864-7752,https://www.roerich.org/,"['Monday: Closed', 'Tuesday: 12:00\u2009–\u20094:00\u202fPM', 'Wednesday: 12:00\u2009–\u20094:00\u202fPM', 'Thursday: 12:00\u2009–\u20094:00\u202fPM', 'Friday: 12:00\u2009–\u20094:00\u202fPM', 'Saturday: 12:00\u2009–\u20095:00\u202fPM', 'Sunday: 12:00\u2009–\u20095:00\u202fPM']",,"['museum', 'point_of_interest']",+1 212-864-7752,https://maps.google.com/?cid=13700002402017709947,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/museum-71.png,,cultural,Nicholas Roerich Museum offers a deep dive into cultural heritage and history.,,True,[],"[None, None]",
7,12,Battery Park,ChIJraKL-BJawokREpxDmF5GcL4,The Battery,40.70293119999999,-74.0153603,New York,4.6,71576.0,(212) 344-3491,https://www.thebattery.org/,"['Monday: 6:00\u202fAM\u2009–\u200912:00\u202fAM', 'Tuesday: 6:00\u202fAM\u2009–\u200912:00\u202fAM', 'Wednesday: 6:00\u202fAM\u2009–\u200912:00\u202fAM', 'Thursday: 6:00\u202fAM\u2009–\u200912:00\u202fAM', 'Friday: 6:00\u202fAM\u2009–\u200912:00\u202fAM', 'Saturday: 6:00\u202fAM\u2009–\u200912:00\u202fAM', 'Sunday: 6:00\u202fAM\u2009–\u200912:00\u202fAM']",0.0,"['park', 'point_of_interest']",+1 212-344-3491,https://maps.google.com/?cid=13722545436693339154,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/park-71.png,"0: 06:00 - 00:00, 1: 06:00 - 00:00, 2: 06:00 - 00:00, 3: 06:00 - 00:00, 4: 06:00 - 00:00, 5: 06:00 - 00:00, 6: 06:00 - 00:00",natural,"The Battery is a beautiful natural attraction, perfect for enjoying the outdoors.",0.0,True,[],"[None, None]",
8,12,Battery Park,ChIJoQb5SxBawokRtYcvnZAI2lE,Castle Clinton National Monument,40.7034401,-74.0168023,New York,4.4,21237.0,(212) 344-7220,https://www.nps.gov/cacl/index.htm,"['Monday: 7:45\u202fAM\u2009–\u20095:00\u202fPM', 'Tuesday: 7:45\u202fAM\u2009–\u20095:00\u202fPM', 'Wednesday: 7:45\u202fAM\u2009–\u20095:00\u202fPM', 'Thursday: 7:45\u202fAM\u2009–\u20095:00\u202fPM', 'Friday: 7:45\u202fAM\u2009–\u20095:00\u202fPM', 'Saturday: 7:45\u202fAM\u2009–\u20095:00\u202fPM', 'Sunday: 7:45\u202fAM\u2009–\u20095:00\u202fPM']",,"['museum', 'point_of_interest']",+1 212-344-7220,https://maps.google.com/?cid=5898036079200536501,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/museum-71.png,"0: 07:45 - 17:00, 1: 07:45 - 17:00, 2: 07:45 - 17:00, 3: 07:45 - 17:00, 4: 07:45 - 17:00, 5: 07:45 - 17:00, 6: 07:45 - 17:00",cultural,Castle Clinton National Monument offers a deep dive into cultural heritage and history.,,True,"[{'name': 'Monday', 'data': [0, 0, 0, 0, 0, 0, 0, 34, 79, 93, 100, 89, 75, 55, 41, 24, 10, 0, 0, 0, 0, 0, 0, 0]}, {'name': 'Tuesday', 'data': [0, 0, 0, 0, 0, 0, 0, 34, 65, 62, 75, 62, 48, 44, 41, 44, 27, 0, 0, 0, 0, 0, 0, 0]}, {'name': 'Wednesday', 'data': [0, 0, 0, 0, 0, 0, 0, 13, 20, 27, 34, 31, 34, 37, 34, 34, 24, 0, 0, 0, 0, 0, 0, 0]}, {'name': 'Thursday', 'data': [0, 0, 0, 0, 0, 0, 0, 17, 41, 62, 62, 41, 34, 24, 27, 37, 17, 0, 0, 0, 0, 0, 0, 0]}, {'name': 'Friday', 'data': [0, 0, 0, 0, 0, 0, 0, 6, 20, 27, 24, 24, 44, 41, 34, 17, 13, 0, 0, 0, 0, 0, 0, 0]}, {'name': 'Saturday', 'data': [0, 0, 0, 0, 0, 0, 0, 10, 13, 20, 31, 41, 31, 17, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0]}, {'name': 'Sunday', 'data': [0, 0, 0, 0, 0, 0, 0, 10, 24, 24, 31, 34, 31, 31, 31, 27, 27, 0, 0, 0, 0, 0, 0, 0]}]","[15, 45]",56.0
9,12,Battery Park,ChIJYTeZ_BFawokRe_SRVX_pKIs,Museum of Jewish Heritage – A Living Memorial to the Holocaust,40.70625299999999,-74.018778,"36 Battery Place, New York",4.6,1670.0,(646) 437-4202,https://mjhnyc.org/,"['Monday: Closed', 'Tuesday: Closed', 'Wednesday: 10:00\u202fAM\u2009–\u20095:00\u202fPM', 'Thursday: 10:00\u202fAM\u2009–\u20098:00\u202fPM', 'Friday: 10:00\u202fAM\u2009–\u20093:00\u202fPM', 'Saturday: Closed', 'Sunday: 10:00\u202fAM\u2009–\u20095:00\u202fPM']",,"['museum', 'point_of_interest']",+1 646-437-4202,https://maps.google.com/?cid=10027521303446156411,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/museum-71.png,"2: 10:00 - 17:00, 3: 10:00 - 20:00, 4: 10:00 - 15:00, 6: 10:00 - 17:00",cultural,Museum of Jewish Heritage – A Living Memorial to the Holocaust offers a deep dive into cultural heritage and history.,,True,[],"[180, 180]",
10,13,Battery Park City,ChIJy7cGfBlawokR5l2e93hsoEA,One World Trade Center,40.7127431,-74.0133795,"285 Fulton Street, New York",4.7,25697.0,,https://www.wtc.com/about/buildings/1-world-trade-center,,3.0,['point_of_interest'],,https://maps.google.com/?cid=4656841281507319270,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,"0: 09:00 - 00:00, 1: 09:00 - 00:00, 2: 09:00 - 00:00, 3: 09:00 - 00:00, 4: 09:00 - 00:00, 5: 09:00 - 00:00, 6: 09:00 - 00:00",other,One World Trade Center is an interesting place worth visiting for its unique offerings.,30.0,False,[],"[None, None]",
