taxi_zone,hour,mean,std
4,0,840.5783078,189.3559419
4,1,544.1423247,208.2758912
4,2,370.9065304,178.0643885
4,3,228.2134278,121.2591744
4,4,167.7375599,58.55546737
4,5,177.9267343,19.6007991
4,6,450.9493165,27.0424355
4,7,1099.425809,82.99196599
4,8,2003.098259,160.0770625
4,9,1496.778918,83.92351152
4,10,1245.130679,41.16686643
4,11,1322.310823,51.30400526
4,12,1518.667871,58.94838954
4,13,1766.649967,71.97840992
4,14,2174.065813,85.38817273
4,15,2640.805584,101.4523418
4,16,2734.659372,96.06529808
4,17,2985.6624,117.5732797
4,18,2752.117363,117.3045004
4,19,2225.362049,114.5722871
4,20,1909.580322,117.5048291
4,21,1704.990978,121.3863479
4,22,1561.832295,135.6650144
4,23,1207.213731,163.3330959
12,0,187.7608493,12.37663254
12,1,69.18378783,4.509196355
12,2,37.37661983,3.498439868
12,3,27.91712896,1.993485876
12,4,49.02924218,2.238366463
12,5,210.23726,13.6487719
12,6,553.2476609,36.32189533
12,7,1198.852998,90.61369197
12,8,1640.557842,120.424048
12,9,1195.164412,62.78375583
12,10,959.0128024,29.48674567
12,11,1086.25122,34.99146918
12,12,1297.518242,40.70423052
12,13,1481.186114,48.10912987
12,14,1729.231486,56.74535043
12,15,2344.247544,85.33496857
12,16,2963.504782,130.9022457
12,17,3655.781703,219.178142
12,18,2268.509955,123.0268365
12,19,1233.665928,51.02174556
12,20,763.3002359,30.93643322
12,21,534.0868983,22.90223889
12,22,406.8545529,17.60006497
12,23,290.1811592,13.33225855
13,0,522.2301276,81.59925931
13,1,238.8042549,64.68548788
13,2,131.5842353,45.61399366
13,3,87.07967186,30.25783204
13,4,98.26250461,16.81314167
13,5,264.293245,22.4548851
13,6,813.9427955,101.6098852
13,7,1754.454379,223.9374765
13,8,2719.268739,312.3554278
13,9,2254.714703,224.3234572
13,10,1920.83178,110.903928
13,11,2179.505183,94.9215036
13,12,2557.433862,102.7496128
13,13,2843.849635,107.8677836
13,14,3402.854261,125.7463065
