Date,Subways: Total Estimated Ridership,Subways: % of Comparable Pre-Pandemic Day,Buses: Total Estimated Ridership,Buses: % of Comparable Pre-Pandemic Day,LIRR: Total Estimated Ridership,LIRR: % of Comparable Pre-Pandemic Day,Metro-North: Total Estimated Ridership,Metro-North: % of Comparable Pre-Pandemic Day,Access-A-Ride: Total Scheduled Trips,Access-A-Ride: % of Comparable Pre-Pandemic Day,Bridges and Tunnels: Total Traffic,Bridges and Tunnels: % of Comparable Pre-Pandemic Day,Staten Island Railway: Total Estimated Ridership,Staten Island Railway: % of Comparable Pre-Pandemic Day
03/01/2020,2212965,0.97,984908,0.99,,,55826,0.59,19922,1.13,786961,0.98,1636,0.52
03/02/2020,5329915,0.96,2209066,0.99,321569,1.03,180702,0.66,30338,1.02,874620,0.95,17140,1.07
03/03/2020,5481103,0.98,2228608,0.99,319727,1.02,190648,0.69,32767,1.1,882175,0.96,17453,1.09
03/04/2020,5498809,0.99,2177165,0.97,311662,0.99,192689,0.7,34297,1.15,905558,0.98,17136,1.07
03/05/2020,5496453,0.99,2244515,1,307597,0.98,194387,0.7,33209,1.12,929298,1.01,17203,1.08
03/06/2020,5189447,0.93,2066743,0.92,289171,0.92,205056,0.74,30970,1.04,945408,1.03,15285,0.96
03/07/2020,2814637,0.92,1249085,0.94,106058,0.98,75839,0.56,18117,1.07,827908,0.95,2445,0.48
03/08/2020,2120656,0.93,957163,0.96,81565,0.94,60800,0.64,19477,1.11,765084,0.95,1672,0.53
03/09/2020,4973513,0.89,2124770,0.95,277001,0.88,183953,0.67,29609,1,860073,0.93,16122,1.01
03/10/2020,4867818,0.87,2111989,0.94,259324,0.83,179050,0.65,31315,1.05,855585,0.93,15805,0.99
03/11/2020,4697122,0.84,2112967,0.94,245798,0.78,175074,0.63,32198,1.08,866706,0.94,15340,0.96
03/12/2020,4149505,0.75,1938424,0.86,197178,0.63,169548,0.61,30814,1.04,881188,0.96,14169,0.89
03/13/2020,3484996,0.63,1715737,0.77,158582,0.51,167176,0.61,26640,0.9,860419,0.93,11769,0.74
03/14/2020,1670665,0.54,993287,0.75,44885,0.42,39701,0.29,13394,0.79,631101,0.72,2135,0.42
03/15/2020,1157711,0.51,711555,0.72,33407,0.38,32641,0.35,12480,0.71,535988,0.66,1368,0.43
03/16/2020,2178555,0.39,1237309,0.55,119333,0.38,153262,0.56,21145,0.71,708870,0.77,5741,0.36
03/17/2020,1788786,0.32,1094949,0.49,83578,0.27,147391,0.53,18173,0.61,650445,0.71,4573,0.29
03/18/2020,1625280,0.29,1059502,0.47,74883,0.24,146118,0.53,15942,0.54,634853,0.69,4133,0.26
03/19/2020,1422112,0.26,933602,0.42,59538,0.19,144466,0.52,14116,0.47,569696,0.62,3452,0.22
03/20/2020,1309125,0.24,868602,0.39,50021,0.16,145160,0.53,12744,0.43,563262,0.61,3124,0.2
03/21/2020,619618,0.2,411491,0.31,12438,0.12,23700,0.17,6467,0.38,382993,0.44,1044,0.21
03/22/2020,408723,0.18,73517,0.07,8891,0.1,20830,0.22,4824,0.27,277051,0.34,641,0.2
03/23/2020,709499,0.13,59321,0.03,30564,0.1,139285,0.51,9902,0.33,361514,0.39,1639,0.1
03/24/2020,741587,0.13,60334,0.03,29785,0.1,139194,0.5,9133,0.31,395493,0.43,1727,0.11
03/25/2020,690032,0.12,51769,0.02,26143,0.08,138239,0.5,9512,0.32,375767,0.41,1572,0.1
03/26/2020,680360,0.12,49970,0.02,23809,0.08,138668,0.5,8795,0.3,390117,0.42,1563,0.1
03/27/2020,656817,0.12,45514,0.02,20355,0.06,138903,0.5,8409,0.28,396778,0.43,1495,0.09
03/28/2020,332393,0.11,19745,0.01,5279,0.05,19088,0.14,4491,0.27,240702,0.28,600,0.12
03/29/2020,263700,0.12,14307,0.01,4358,0.05,18152,0.19,3374,0.19,197154,0.24,419,0.13
03/30/2020,545215,0.1,33659,0.02,19741,0.06,137762,0.5,8084,0.27,344690,0.37,1140,0.07
03/31/2020,508106,0.09,32211,0.01,16194,0.05,137464,0.5,7672,0.26,337626,0.37,1043,0.07
04/01/2020,513481,0.09,29373,0.01,10548,0.03,9301,0.03,8151,0.28,342222,0.36,720,0.04
04/02/2020,485586,0.09,26788,0.01,10057,0.03,9493,0.03,7077,0.24,339734,0.36,882,0.05
04/03/2020,483357,0.09,24418,0.01,9657,0.03,9770,0.03,7794,0.27,340272,0.36,843,0.05
04/04/2020,282278,0.09,13168,0.01,3727,0.03,4452,0.03,4375,0.26,243323,0.27,425,0.08
04/05/2020,227303,0.09,9748,0.01,2969,0.03,3602,0.03,2763,0.15,209152,0.24,300,0.09
04/06/2020,445454,0.08,22418,0.01,10127,0.03,9832,0.03,7093,0.25,335769,0.36,819,0.05
04/07/2020,434986,0.08,21623,0.01,9312,0.03,9589,0.03,7041,0.24,335470,0.36,732,0.05
04/08/2020,427485,0.08,20361,0.01,9039,0.03,9293,0.03,6950,0.24,324882,0.35,721,0.04
04/09/2020,404635,0.07,18734,0.01,8413,0.03,8931,0.03,6243,0.22,303481,0.32,690,0.04
04/10/2020,400275,0.07,17135,0.01,8247,0.03,9574,0.03,5378,0.19,314100,0.33,672,0.04
04/11/2020,257061,0.08,9718,0.01,2749,0.02,4179,0.03,4235,0.25,254755,0.28,406,0.08
04/12/2020,198399,0.08,7041,0.01,2245,0.02,3281,0.03,2525,0.14,217871,0.25,294,0.09
04/13/2020,363312,0.07,14408,0.01,8192,0.03,8825,0.03,6205,0.21,284609,0.3,649,0.04
04/14/2020,430155,0.08,17937,0.01,8816,0.03,9592,0.03,6585,0.23,356104,0.38,791,0.05
04/15/2020,419059,0.08,16895,0.01,8596,0.03,9492,0.03,6928,0.24,340213,0.36,792,0.05
04/16/2020,420223,0.08,16632,0.01,8462,0.03,9528,0.03,6563,0.23,346342,0.37,790,0.05
04/17/2020,432368,0.08,16350,0.01,8271,0.03,9989,0.03,7048,0.24,378350,0.4,738,0.05
04/18/2020,254453,0.08,8115,0.01,2449,0.02,3966,0.03,4202,0.25,254735,0.28,339,0.07
04/19/2020,224411,0.09,6929,0.01,2159,0.02,3885,0.04,2742,0.15,276406,0.32,340,0.1
