time,temperature_2m (°C),rain (mm),snowfall (cm),snow_depth (m),weather_code (wmo code),wind_speed_10m (km/h)
2022-01-01T00:00,-17,0,0,0.64,3,8.3
2022-01-01T01:00,-15.6,0,0.07,0.64,71,8
2022-01-01T02:00,-14.7,0,0.07,0.64,71,7.6
2022-01-01T03:00,-14.2,0,0.07,0.64,71,7
2022-01-01T04:00,-12.6,0,0.14,0.64,71,7
2022-01-01T05:00,-10.1,0,0.14,0.64,71,5.6
2022-01-01T06:00,-7.4,0,0.21,0.64,73,4.4
2022-01-01T07:00,-6.7,0,0.21,0.64,73,4.2
2022-01-01T08:00,-5.8,0,0.07,0.64,71,4.1
2022-01-01T09:00,-5,0,0,0.64,3,3.8
2022-01-01T10:00,-6.4,0,0.07,0.65,71,5.2
2022-01-01T11:00,-8.9,0,0,0.65,3,7.3
2022-01-01T12:00,-7.6,0,0,0.65,3,7.2
2022-01-01T13:00,-11,0,0,0.65,3,5.8
2022-01-01T14:00,-11.9,0,0,0.65,3,5.4
2022-01-01T15:00,-11.8,0,0,0.65,3,5.2
2022-01-01T16:00,-12.3,0,0,0.65,3,5.8
2022-01-01T17:00,-11.5,0,0,0.65,3,5.6
2022-01-01T18:00,-12.6,0,0,0.65,3,6.8
2022-01-01T19:00,-13,0,0.07,0.65,71,6
2022-01-01T20:00,-12.6,0,0,0.65,3,4.7
2022-01-01T21:00,-12.6,0,0.07,0.65,71,5.3
2022-01-01T22:00,-12.9,0,0,0.65,3,5.2
2022-01-01T23:00,-13.2,0,0,0.65,3,4
2022-01-02T00:00,-13.3,0,0.07,0.65,71,4.3
2022-01-02T01:00,-12.7,0,0.14,0.65,71,5.2
2022-01-02T02:00,-12.7,0,0.14,0.65,71,5.8
2022-01-02T03:00,-12.5,0,0.07,0.65,71,5.6
2022-01-02T04:00,-12,0,0,0.65,3,6
2022-01-02T05:00,-8.8,0,0,0.65,3,5.4
2022-01-02T06:00,-6.8,0,0,0.65,3,4.3
2022-01-02T07:00,-5.6,0,0,0.65,3,3.8
2022-01-02T08:00,-4.8,0,0,0.65,3,3.3
2022-01-02T09:00,-3.5,0,0,0.65,2,2.8
