temperature_2m (°C),rain (mm),snowfall (cm),snow_depth (m),weather_code (wmo code),wind_speed_10m (km/h),weather_description,datetime,year_month,day,week,hour
-17.0,0.0,0.0,0.64,3,8.3,Overcast,2022-01-01 00:00:00,2022-01,1,Saturday,0
-15.6,0.0,0.07,0.64,71,8.0,Light Snow,2022-01-01 01:00:00,2022-01,1,Saturday,1
-14.7,0.0,0.07,0.64,71,7.6,Light Snow,2022-01-01 02:00:00,2022-01,1,Saturday,2
-14.2,0.0,0.07,0.64,71,7.0,Light Snow,2022-01-01 03:00:00,2022-01,1,Saturday,3
-12.6,0.0,0.14,0.64,71,7.0,Light Snow,2022-01-01 04:00:00,2022-01,1,Saturday,4
-10.1,0.0,0.14,0.64,71,5.6,Light Snow,2022-01-01 05:00:00,2022-01,1,Saturday,5
-7.4,0.0,0.21,0.64,73,4.4,Moderate Snow,2022-01-01 06:00:00,2022-01,1,Saturday,6
-6.7,0.0,0.21,0.64,73,4.2,Moderate Snow,2022-01-01 07:00:00,2022-01,1,Saturday,7
-5.8,0.0,0.07,0.64,71,4.1,Light Snow,2022-01-01 08:00:00,2022-01,1,Saturday,8
-5.0,0.0,0.0,0.64,3,3.8,Overcast,2022-01-01 09:00:00,2022-01,1,Saturday,9
-6.4,0.0,0.07,0.65,71,5.2,Light Snow,2022-01-01 10:00:00,2022-01,1,Saturday,10
-8.9,0.0,0.0,0.65,3,7.3,Overcast,2022-01-01 11:00:00,2022-01,1,Saturday,11
-7.6,0.0,0.0,0.65,3,7.2,Overcast,2022-01-01 12:00:00,2022-01,1,Saturday,12
-11.0,0.0,0.0,0.65,3,5.8,Overcast,2022-01-01 13:00:00,2022-01,1,Saturday,13
-11.9,0.0,0.0,0.65,3,5.4,Overcast,2022-01-01 14:00:00,2022-01,1,Saturday,14
-11.8,0.0,0.0,0.65,3,5.2,Overcast,2022-01-01 15:00:00,2022-01,1,Saturday,15
-12.3,0.0,0.0,0.65,3,5.8,Overcast,2022-01-01 16:00:00,2022-01,1,Saturday,16
-11.5,0.0,0.0,0.65,3,5.6,Overcast,2022-01-01 17:00:00,2022-01,1,Saturday,17
-12.6,0.0,0.0,0.65,3,6.8,Overcast,2022-01-01 18:00:00,2022-01,1,Saturday,18
-13.0,0.0,0.07,0.65,71,6.0,Light Snow,2022-01-01 19:00:00,2022-01,1,Saturday,19
-12.6,0.0,0.0,0.65,3,4.7,Overcast,2022-01-01 20:00:00,2022-01,1,Saturday,20
-12.6,0.0,0.07,0.65,71,5.3,Light Snow,2022-01-01 21:00:00,2022-01,1,Saturday,21
-12.9,0.0,0.0,0.65,3,5.2,Overcast,2022-01-01 22:00:00,2022-01,1,Saturday,22
-13.2,0.0,0.0,0.65,3,4.0,Overcast,2022-01-01 23:00:00,2022-01,1,Saturday,23
-13.3,0.0,0.07,0.65,71,4.3,Light Snow,2022-01-02 00:00:00,2022-01,2,Sunday,0
-12.7,0.0,0.14,0.65,71,5.2,Light Snow,2022-01-02 01:00:00,2022-01,2,Sunday,1
-12.7,0.0,0.14,0.65,71,5.8,Light Snow,2022-01-02 02:00:00,2022-01,2,Sunday,2
-12.5,0.0,0.07,0.65,71,5.6,Light Snow,2022-01-02 03:00:00,2022-01,2,Sunday,3
-12.0,0.0,0.0,0.65,3,6.0,Overcast,2022-01-02 04:00:00,2022-01,2,Sunday,4
-8.8,0.0,0.0,0.65,3,5.4,Overcast,2022-01-02 05:00:00,2022-01,2,Sunday,5
-6.8,0.0,0.0,0.65,3,4.3,Overcast,2022-01-02 06:00:00,2022-01,2,Sunday,6
-5.6,0.0,0.0,0.65,3,3.8,Overcast,2022-01-02 07:00:00,2022-01,2,Sunday,7
-4.8,0.0,0.0,0.65,3,3.3,Overcast,2022-01-02 08:00:00,2022-01,2,Sunday,8
-3.5,0.0,0.0,0.65,2,2.8,Partly Cloudy,2022-01-02 09:00:00,2022-01,2,Sunday,9
-3.8,0.0,0.0,0.65,3,2.9,Overcast,2022-01-02 10:00:00,2022-01,2,Sunday,10
-4.6,0.0,0.0,0.65,2,2.9,Partly Cloudy,2022-01-02 11:00:00,2022-01,2,Sunday,11
-5.2,0.0,0.0,0.65,3,4.5,Overcast,2022-01-02 12:00:00,2022-01,2,Sunday,12
-10.6,0.0,0.0,0.65,3,8.9,Overcast,2022-01-02 13:00:00,2022-01,2,Sunday,13
-11.0,0.0,0.0,0.65,1,9.7,Mainly Clear,2022-01-02 14:00:00,2022-01,2,Sunday,14
-12.4,0.0,0.0,0.65,0,9.5,Fair,2022-01-02 15:00:00,2022-01,2,Sunday,15
-13.6,0.0,0.0,0.65,0,9.5,Fair,2022-01-02 16:00:00,2022-01,2,Sunday,16
-14.0,0.0,0.0,0.65,0,7.6,Fair,2022-01-02 17:00:00,2022-01,2,Sunday,17
-14.2,0.0,0.0,0.65,2,6.0,Partly Cloudy,2022-01-02 18:00:00,2022-01,2,Sunday,18
-14.9,0.0,0.0,0.65,2,5.2,Partly Cloudy,2022-01-02 19:00:00,2022-01,2,Sunday,19
-15.5,0.0,0.0,0.65,1,5.2,Mainly Clear,2022-01-02 20:00:00,2022-01,2,Sunday,20
-16.5,0.0,0.0,0.64,2,5.7,Partly Cloudy,2022-01-02 21:00:00,2022-01,2,Sunday,21
-16.3,0.0,0.0,0.64,2,6.8,Partly Cloudy,2022-01-02 22:00:00,2022-01,2,Sunday,22
-17.4,0.0,0.0,0.64,1,6.8,Mainly Clear,2022-01-02 23:00:00,2022-01,2,Sunday,23
-17.8,0.0,0.0,0.64,1,7.9,Mainly Clear,2022-01-03 00:00:00,2022-01,3,Monday,0
-17.3,0.0,0.0,0.64,3,8.0,Overcast,2022-01-03 01:00:00,2022-01,3,Monday,1
-16.5,0.0,0.0,0.64,2,8.1,Partly Cloudy,2022-01-03 02:00:00,2022-01,3,Monday,2
-15.6,0.0,0.0,0.64,2,8.0,Partly Cloudy,2022-01-03 03:00:00,2022-01,3,Monday,3
-12.8,0.0,0.0,0.64,3,7.6,Overcast,2022-01-03 04:00:00,2022-01,3,Monday,4
-9.0,0.0,0.0,0.64,3,6.3,Overcast,2022-01-03 05:00:00,2022-01,3,Monday,5
-6.1,0.0,0.0,0.64,3,5.7,Overcast,2022-01-03 06:00:00,2022-01,3,Monday,6
-4.0,0.0,0.0,0.64,3,4.6,Overcast,2022-01-03 07:00:00,2022-01,3,Monday,7
-4.2,0.0,0.0,0.64,3,6.1,Overcast,2022-01-03 08:00:00,2022-01,3,Monday,8
