name,address,city,state,zip_code,latitude,longitude,category,description,event_site_url,image_url,is_free,time_start,time_end,attending_count,interested_count,is_canceled,is_official
Museum Scavenger Hunt,281 Park Ave S,New York,NY,10010,40.7392209,-73.98672189999999,kids-family,Join us for a paw-some adventure at Fotografiska New York as Animal Planet's Puppy Bowl Referee Dan Schachner guides families through a scavenger hunt and...,https://www.yelp.com/events/new-york-museum-scavenger-hunt?adjust_creative=vaXd63wEr8RrzPKFIuH35Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_event_search&utm_source=vaXd63wEr8RrzPKFIuH35Q,https://s3-media4.fl.yelpcdn.com/ephoto/q7rjH42CwozqD1x_1dT6xw/o.jpg,False,2024-09-15T14:00:00-04:00,,1,0,False,False
2024 International Conference on Computational Linguistics and Natural Language Processing (CLNLP 2024),80 Spring St,New York,NY,10012,40.7226811,-73.9982304,other,"2024 International Conference on Computational Linguistics and Natural Language Processing (CLNLP 2024)-- Ei Compendex & Scopus--Call for paper  
July...",https://www.yelp.com/events/new-york-2024-international-conference-on-computational-linguistics-and-natural-language-processing-clnlp-2024?adjust_creative=vaXd63wEr8RrzPKFIuH35Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_event_search&utm_source=vaXd63wEr8RrzPKFIuH35Q,https://s3-media3.fl.yelpcdn.com/ephoto/SVj3wU5RajhhNNZM6dqIhA/o.jpg,False,2024-07-19T09:00:00-04:00,2024-07-21T18:00:00-04:00,1,0,False,False
2024 International Conference on Intelligent Vehicles (ICoIV 2024),108 E 4th St,New York,NY,10003,40.7255336,-73.9883517,other,"2024 International Conference on Intelligent Vehicles (ICoIV 2024)-- Ei Compendex & Scopus--Call for paper  
September 27 - 29, 2024｜Xi'an, China｜Website:...",https://www.yelp.com/events/new-york-2024-international-conference-on-intelligent-vehicles-icoiv-2024?adjust_creative=vaXd63wEr8RrzPKFIuH35Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_event_search&utm_source=vaXd63wEr8RrzPKFIuH35Q,https://s3-media4.fl.yelpcdn.com/ephoto/JDLO4uTKShEvfjCCzu1qMw/o.jpg,True,2024-09-27T09:00:00-04:00,2024-09-29T18:30:00-04:00,1,0,False,False
RISK!,21 A Clinton St,New York,NY,10002,40.7207414,-73.984434,other,"RISK! is the show where people tell true stories they never thought they'd dare to share in public. Hosted by Kevin Allison (MTV's The State, Netflix,...",https://www.yelp.com/events/new-york-risk-5?adjust_creative=vaXd63wEr8RrzPKFIuH35Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_event_search&utm_source=vaXd63wEr8RrzPKFIuH35Q,https://s3-media4.fl.yelpcdn.com/ephoto/GdIWRa1bUsA8K9JY78r5gw/o.jpg,False,2024-07-18T21:30:00-04:00,,1,0,False,False
panty raid comedy,21 A Clinton St,New York,NY,10002,40.7207414,-73.984434,performing-arts,"We're hosting the FIRST Panty Raid show of 2024!

Featuring....
Joey Dardano (The Stand)
Evan Lazarus (HBO Girls Rewatch Podcast)
Rebecca Weiser (Power Suit...",https://www.yelp.com/events/new-york-panty-raid-comedy-6?adjust_creative=vaXd63wEr8RrzPKFIuH35Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_event_search&utm_source=vaXd63wEr8RrzPKFIuH35Q,https://s3-media3.fl.yelpcdn.com/ephoto/Rgfjfzqn6pJD3AInBXQxTA/o.jpg,False,2024-06-21T19:00:00-04:00,2024-06-21T21:00:00-04:00,1,0,False,False
doctors without boundaries,21 A Clinton St,New York,NY,10002,40.7207414,-73.984434,performing-arts,Real-life ER doctors Andres Mallipudi and co. welcome chronically over-sharing comedians to tell stories of their weirdest diagnoses. The doctors then do...,https://www.yelp.com/events/new-york-doctors-without-boundaries-6?adjust_creative=vaXd63wEr8RrzPKFIuH35Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_event_search&utm_source=vaXd63wEr8RrzPKFIuH35Q,https://s3-media1.fl.yelpcdn.com/ephoto/SaDQMcMW_Tr0_IT8XaLfmg/o.jpg,False,2024-07-03T21:30:00-04:00,2024-07-03T23:00:00-04:00,1,0,False,False
4th of July New York Fireworks Party Cruise,299 South St,New York,NY,10002,40.7098278392299,-73.9853025502194,kids-family,"Go forth this July 4th and feel like royalty for Independence Day on board the Cornucopia Princess Yacht's 15000 square-foot observation decks. 

You'll be...",https://www.yelp.com/events/new-york-4th-of-july-new-york-fireworks-party-cruise?adjust_creative=vaXd63wEr8RrzPKFIuH35Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_event_search&utm_source=vaXd63wEr8RrzPKFIuH35Q,https://s3-media4.fl.yelpcdn.com/ephoto/WstKneEitjWp2dyqLKWwFA/o.jpg,False,2024-07-04T18:00:00-04:00,2024-07-04T23:00:00-04:00,1,0,False,False
July 4th NYC Fireworks Party Cruise,299 South St,New York,NY,10002,40.7098278392299,-73.9853025502194,kids-family,Celebrate Independence Day and party with us on the Cornucopia Majesty this year and set sail on our July 4th Fireworks Watch Party Cruise! Sail with your...,https://www.yelp.com/events/new-york-july-4th-nyc-fireworks-party-cruise?adjust_creative=vaXd63wEr8RrzPKFIuH35Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_event_search&utm_source=vaXd63wEr8RrzPKFIuH35Q,https://s3-media3.fl.yelpcdn.com/ephoto/QyqD-NVVEEjHPoa9s_Dosg/o.jpg,False,2024-07-04T18:00:00-04:00,2024-07-04T23:00:00-04:00,1,0,False,False
54th Global Conference on Business Management and Economics (GCBME),"31 W 34th ST | 7th & 8th floors,",New York,NY,10120,40.7496363,-73.9868205,other,"The primary aim of the Global Conference on Business Management and Economics (GCBME) is to facilitate the gathering of experts from diverse fields,...",https://www.yelp.com/events/new-york-54th-global-conference-on-business-management-and-economics-gcbme?adjust_creative=vaXd63wEr8RrzPKFIuH35Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_event_search&utm_source=vaXd63wEr8RrzPKFIuH35Q,https://s3-media3.fl.yelpcdn.com/ephoto/_DTarOW3uh5KWFNF7s7oTQ/o.jpg,False,2024-06-07T10:00:00-04:00,2024-06-09T17:00:00-04:00,1,0,False,False
15th Global Conference on Human Resource Management (GCHRM),"31 W 34th ST | 7th & 8th floors,",New York,NY,10120,40.7496363,-73.9868205,other,The primary aim of the Global Conference on Human Resource Management (GCHRM) is to establish a platform for professionals and experts across diverse...,https://www.yelp.com/events/new-york-15th-global-conference-on-human-resource-management-gchrm?adjust_creative=vaXd63wEr8RrzPKFIuH35Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_event_search&utm_source=vaXd63wEr8RrzPKFIuH35Q,https://s3-media1.fl.yelpcdn.com/ephoto/RiUCAhvAY2QP-CY54S2sng/o.jpg,False,2024-06-07T10:00:00-04:00,2024-06-09T17:00:00-04:00,1,0,False,False
